Date,Price,Open,High,Low,Vol.,Change %,Volume
3/30/2019,189.81,190,193.75,186.71,0.53K,-0.10%,530
3/29/2019,190,184.4,190,182.46,1.24K,3.04%,1240
3/28/2019,184.4,186.78,187.3,183.23,0.27K,-1.27%,270
3/27/2019,186.78,178.29,186.78,178.29,0.54K,4.76%,540
3/26/2019,178.29,178.87,180.5,176.78,0.60K,-0.32%,600
3/25/2019,178.87,182.03,182.47,175.61,1.27K,-1.74%,1270
3/24/2019,182.03,183.35,183.41,180.37,0.16K,-0.72%,160
3/23/2019,183.35,182.33,183.42,181.5,0.07K,0.56%,70
3/22/2019,182.33,179.69,183.76,178.66,0.17K,1.47%,170
3/21/2019,179.69,184.42,184.6,177.83,0.64K,-2.56%,640
3/20/2019,184.42,184.58,184.9,181.49,0.30K,-0.09%,300
3/19/2019,184.58,182.87,186.48,180.9,0.68K,0.94%,680
3/18/2019,182.87,183.87,187.74,181.4,0.14K,-0.54%,140
3/17/2019,183.87,187.39,187.99,182.25,0.21K,-1.88%,210
3/16/2019,187.39,181.71,190,181.71,0.46K,3.13%,460
3/15/2019,181.71,177.1,183.44,176.01,0.17K,2.60%,170
3/14/2019,177.1,177.37,179.68,172.93,0.47K,-0.15%,470
3/13/2019,177.37,177.2,187,174.57,0.75K,0.10%,750
3/12/2019,177.2,178.23,180.18,171.01,0.93K,-0.58%,930
3/11/2019,178.23,181.58,182.26,174.41,0.16K,-1.84%,160
3/10/2019,181.58,182.21,183.15,177.45,0.18K,-0.35%,180
3/9/2019,182.21,178.13,185.23,178.13,0.16K,2.29%,160
3/8/2019,178.13,183.65,184.87,175.72,0.46K,-3.01%,460
3/7/2019,183.65,186.5,187,181.25,0.22K,-1.53%,220
3/6/2019,186.5,182,186.51,178,0.66K,2.47%,660
3/5/2019,182,167.46,182,162,0.67K,8.68%,670
3/4/2019,167.46,171.64,174.45,165.4,0.33K,-2.44%,330
3/3/2019,171.64,177.64,179.62,171.64,0.14K,-3.38%,140
3/2/2019,177.64,181.33,181.83,175,0.32K,-2.03%,320
3/1/2019,181.33,178.67,183.72,176.36,0.24K,1.49%,240
2/28/2019,178.67,173.8,182.5,173.8,0.30K,2.80%,300
2/27/2019,173.8,181.34,183.6,167,0.50K,-4.16%,500
2/26/2019,181.34,182.8,184.17,176.93,0.31K,-0.80%,310
2/25/2019,182.8,173.23,186.79,173.23,0.94K,5.52%,940
2/24/2019,173.23,206,219.19,173.18,1.75K,-15.91%,1750
2/23/2019,206,195.77,208.39,191.52,0.78K,5.23%,780
2/22/2019,195.77,191.59,196,189.01,0.45K,2.18%,450
2/21/2019,191.59,194.8,195.8,187.03,0.45K,-1.65%,450
2/20/2019,194.8,189.36,194.8,185,0.26K,2.87%,260
2/19/2019,189.36,188.64,195.25,188.42,0.50K,0.38%,500
2/18/2019,188.64,175.22,194.72,174.55,0.53K,7.66%,530
2/17/2019,175.22,161.28,180.08,160,0.84K,8.64%,840
2/16/2019,161.28,160.63,162,157,0.35K,0.40%,350
2/15/2019,160.63,160.58,161.48,158.17,0.21K,0.03%,210
2/14/2019,160.58,159.48,162,157.46,0.18K,0.69%,180
2/13/2019,159.48,160.27,162,156.75,0.24K,-0.49%,240
2/12/2019,160.27,157.64,161.4,153.27,0.47K,1.67%,470
2/11/2019,157.64,156.99,158,150.17,0.32K,0.41%,320
